id,Nombre,datasketch,pacifista,ojoalapaz,indepaz,ONU,Defensoria,Unidad de Victimas,Somos Defensores,Cinep. Noche y Niebla,CODHES,Colectivo de Abogados José Alvear Restrepo Cajar,Género,Fecha,Municipio,Departamento,Tipo de líder,Cargo,Móvil,Otros,Fuentes
luis-elviar-vergel,Luis Elviar Vergel,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-03-17,Santa Marta,Magdalena,Líder comunal,,,,"http://www.hoydiariodelmagdalena.com.co/noticias/judiciales2063.html, https://evangelizadorasdelosapostoles.wordpress.com/2016/03/21/colombia-santa-marta-muere-lider-comunal-luis-elviar-vergel/"
orlando-olave,Orlando Olave,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-03-18,Buenaventura,Valle del Cauca,Líder afrodescendiente,,,,"http://www.eltiempo.com/colombia/cali/asesinato-de-lider-afroamericano-en-buenaventura/16542013, http://www.justiceforcolombia.org/news/article/2105/two-afro-descendent-leaders-killed-by-paramilitaries-in-buenaventura"
luis-enrique-ramirez,Luis Enrique Ramirez Rivera,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-03-19,El Zulia,Norte de Santander,Líder comunitario,,,,https://www.laopinion.com.co/judicial/asesinaron-un-hombre-en-la-vereda-el-tablazo-108730
carlos-ariza,Carlos Ariza,si,NA,NA,si,NA,NA,NA,NA,NA,NA,NA,M,2016-03-22,Zipaquirá,Cundinamarca,Líder comunal,,,,
erney-alvarado,Erney Alvarado,NA,NA,NA,si,NA,NA,NA,NA,NA,NA,NA,M,2016-03-26,Corinto,Cauca,Líder comunitario,,Cuatro hombres armados ingresaron a una vivienda donde se encontraba Erney y otras dos víctimas y comenzaron a dispararles. Erney murió en el acto.,,"http://www.elespectador.com/noticias/judicial/nuevas-amenazas-y-asesinatos-contra-lideres-sociales-ca-articulo-624375, http://radiomacondo.fm/2016/03/30/asesinan-integrante-marcha-patriotica-masacre-paramilitar/"
omar-zambrano,Omar Zambrano,NA,NA,NA,si,NA,NA,NA,NA,NA,NA,NA,M,2016-03-26,Corinto,Cauca,Líder comunitario,,,,"http://www.elespectador.com/noticias/judicial/nuevas-amenazas-y-asesinatos-contra-lideres-sociales-ca-articulo-624375, http://radiomacondo.fm/2016/03/30/asesinan-integrante-marcha-patriotica-masacre-paramilitar/"
victor-andres-florez,Victor Andres Florez,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-03-26,Corinto,Cauca,Líder campesino o agrario,,,,"http://www.elespectador.com/noticias/judicial/nuevas-amenazas-y-asesinatos-contra-lideres-sociales-ca-articulo-624375, http://radiomacondo.fm/2016/03/30/asesinan-integrante-marcha-patriotica-masacre-paramilitar/"
cristian-anacona-castro,Cristian Anacona Castro,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,NA,M,2016-03-28,La Sierra,Cauca,Líder indígena,,,,"www.elpais.com.co/.../denuncian-el-asesinato-de-un-lider-indigena-en-el-sur-del-cauca, http://cali.extra.com.co/noticias/judicial/denuncian-asesinato-de-otro-lider-indigena-en-cauca-196826, http://caracol.com.co/emisora/2016/03/29/popayan/1459212811_212958.html"
samuel-caicedo-portocarrero,Samuel Caicedo Portocarrero,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-03-30,Cali,Valle del Cauca,Líder comunitario,,"En el río Cauca, en el sector Paso del Comercio, apareció el cadáver de Samuel Caicedo Portocarrero con un traje negro, incluido un saco. El primer reporte indicó que recibió impactos de bala.",,http://www.eltiempo.com/archivo/documento/CMS-16549818
esteban-rodriguez-vega,Esteban Rodriguez Vega,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-04-03,Sardinata,Norte de Santander,Líder comunitario,,Ataque en la via mientras se movilizaba en su vehiculo,,https://www.laopinion.com.co/judicial/matan-un-hombre-de-varios-disparos-en-zona-rural-de-sardinata-109510#OP
oswaldo-hernandez-gutierrez,Oswaldo Hernandez Gutierrez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-04-10,San Sebastian de Buenavista,Magdalena,Líder sindical,,Tres hombres que se movilizaban en motocicleta le dispararon cuando él pretendía ingresar por el garaje a su casa en el barrio San Martín en Valledupar.,,"http://www.quintopoder.com.co/en-valledupar-muere-lider-sindical-baleado-en-el-magdalena/, http://semanariovoz.com/en-valledupar-muere-lider-sindical-baleado-en-el-magdalena/, https://www.colectivodeabogados.org/?CUT-repudia-asesinato-contra-sindicalista-en-Magdalena-y-amenazas-contra-otros"
rubiela-coicue,Rubiela Coicue,NA,NA,NA,si,NA,NA,NA,NA,NA,NA,NA,F,2016-04-17,Caloto,Cauca,Líder indígena,Miembro del resguardo López Adentro,Su cadáver fue hallado decapitado a 200 metros de la vía principal que comunica a esa localidad con la vecina población de Corinto,,"http://www.cric-colombia.org/portal/de-nuevo-la-muerte-y-los-que-se-creen-duenos-de-la-vida-y-el-territorio-asesinan-vilmente-a-una-mujer-humilde/, http://www.eltiempo.com/archivo/documento/CMS-16568613"
jesus-adilio-mosquera,Jesus Adilio Mosquera Palacios,si,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-04-19,Quibdó,Choco,Líder afrodescendiente,,"El pasado jueves 14 de abril de 2016, a las 7:00AM se dirigía hacía su sitio de trabajo fue abordado por hombres armados quienes sin mediar palabras le dispararon en varias ocaciones.",,http://www.elespectador.com/noticias/politica/asesinado-otro-lider-afro-choco-articulo-627955
john-edwar-bermeo,John Edwar Bermeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-04-23,Buenos Aires,Cauca,Líder indígena,,"El cuerpo de John Edwar fue encontrado enterrado en el municipio de Buenos Aires, junto a su moto.",,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC
diego-cenen-lopez,Diego Cenen López,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-04-26,Cajibío,Cauca,Líder comunitario,Docente,Dos hombres sin identificar irrumpieron en la institución educativa en la que trabajaba en la vereda de Alto Grande. Uno de ellos disparó contra el profesor frente a los niños.,,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC; https://www.proclamadelcauca.com/asesinado-profesor-diego-cenen-lopez-cajibio/
wilson-hoyos-olano,Wilson Hoyos Olano,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-04-28,El Bagre,Antioquia,Líder comunitario,,,,"http://caracol.com.co/emisora/2016/04/28/medellin/1461874179_486719.html, http://www.elcolombiano.com/antioquia/seguridad/homicidio-de-exconcejal-de-el-bagre-antioquia-XL4058819"
manuel-dolores-pino,Manuel Dolores Pino Perafán,NA,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-05-04,El Tambo,Cauca,Líder comunal,,,,"http://caracol.com.co/emisora/2016/05/05/popayan/1462462555_668970.html, http://www.eltiempo.com/colombia/cali/asesinan-a-lider-comunitario-en-el-cauca/16582366"
jose-albino-solarte,Jose Albino Solarte,NA,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-05-05,Bolívar,Cauca,Líder comunitario,,,,"http://caracol.com.co/emisora/2016/05/05/popayan/1462462555_668970.html, http://www.wradio.com.co/noticias/regionales/cauca-ocho-lideres-sociales-han-sido-asesinados-este-ano/20160506/nota/3126253.aspx, http://elnuevoliberal.com/otro-ataque-mortal-a-lider-comunitario/"
arvinson-florez-gonzalez,Arvinson Florez Gonzalez,si,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-05-13,Pueblo Nuevo,Córdoba,Líder LGTBI,,,,"http://www.eluniversal.com.co/cartagena/caribe-afirmativo-rechaza-asesinato-de-miembro-lgbti-en-cordoba-teton-226210,"
gonzalo-renteria-mosquera,Gonzalo Rentería Mosquera,NA,NA,NA,si,NA,NA,NA,NA,NA,NA,si,M,2016-05-13,Pereira,Risaralda,Líder comunal,,,,"http://www.eldiario.com.co/seccion/JUDICIAL/capturaon-a-la-banda-que-al-parecer-asesin-al-l-der-del-plum-n1605.html, http://caracol.com.co/emisora/2016/05/13/pereira/1463138635_047560.html, https://www.rcnradio.com/colombia/eje-cafetero/sijin-cti-capturaron-banda-sindicada-asesinar-lider-comunitario"
william-cuetia-trochez,William Cuetia Trochez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-05-16,Corinto,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=11&orden=ASC
gregorio-carrasco,Gregorio Carrasco,si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-05-17,Zaragoza,Antioquia,Líder comunitario,,,,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC
adrian-quintero-moreno,Adrian Quintero Moreno,si,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-05-18,Buenaventura,Valle del Cauca,Líder afrodescendiente,Miembro de CONAFRO,Fue atacado cuando salía de una tienda. Recibió tres disparos en la cabeza.,,"http://www.eltiempo.com/colombia/cali/asesinato-de-lider-afroamericano-en-buenaventura/16542013, http://marchapatrioticaenelvalle.blogspot.com.co/2016/03/paramilitares-asesinan-lider.html"
manuel-chima-perez,Manuel Chima Pérez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-05-22,El Bagre,Antioquia,Líder indígena,,,,"http://www.onic.org.co/comunicados-regionales/1206-asesinan-a-joven-perteneciente-a-la-guardia-indigena-del-bajo-cauca, https://noticias.caracoltv.com/colombia/asesinan-guardia-indigena-en-el-bajo-cauca"
willington-quibarecama-naquirucama,Willington Quibarecama Naquirucama,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,si,M,2016-05-30,Trujillo,Valle del Cauca,Líder indígena,,,,"https://www.elheraldo.co/nacional/un-indigena-muerto-un-herido-y-varios-desaparecidos-dejan-las-primeras-protestas-del-paro, http://www.elpais.com.co/judicial/tension-en-buenaventura-por-muerte-de-indigena-en-confusos-hechos.html"
arnulfo-gonzalez-velasquez,Arnulfo Gonzalez Velasquez,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-05-31,Cimitarra,Santander,Líder campesino o agrario,,,,"http://www.vanguardia.com/judicial/361673-temor-en-cimitarra-por-ola-de-asesinatos, http://www.elfrente.com.co/web/index.php?ecsmodule=frmstasection&ida=54&idb=99&idc=3676"
gersain-ceron,Gersain Ceron,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,si,M,2016-06-02,El Pital de Caldono,Cauca,Líder indígena,,,,"https://www.elespectador.com/noticias/nacional/muere-lider-indigena-el-cauca-durante-paro-agrario-articulo-635682, http://hsbnoticias.com/noticias/judicial/la-muerte-de-gersain-ceron-obligo-la-suspension-del-dialog-212460"
ramon-eduardo-acevedo,Ramon Eduardo Acevedo Rojas,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-06-06,Medellín,Antioquia,Líder comunitario,,,,NA
yolay-robinson-chica,Yolay Robinson Chica Jaramillo,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-06-11,Liborina,Antioquia,Líder comunitario,,,,"http://www.elespectador.com/noticias/nacional/fue-hallado-muerto-el-concejal-de-liborina-antioquia-articulo-637397, http://caracol.com.co/emisora/2016/06/12/medellin/1465757085_206601.html, http://www.eltiempo.com/colombia/medellin/asesinan-a-concejal-de-liborina/16618366
"
laureano-pill-ramos,Laureano Pill Ramos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-06-14,Páez,Cauca,Líder comunitario,,,,https://redhuerteros.org/b410&registros=10&pagina=12&orden=ASC
amado-gomez,Amado Gomez,si,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-06-21,Chigorodo,Antioquia,Líder indígena,Gobernador local de la comunidad indígena Dojura del municipio de Chigorodó,Fue herido con arma blanca en cuatro oportunidades. Murió en el centro de asistencia médica de Chigodoró.,,"http://www.minuto30.com/video-presidenta-de-la-oia-anuncia-articulacion-con-justicia-ordinaria-para-esclarecer-muerte-de-gobernador-indigena-en-ghigorodo/489895/, http://elrionegrero.com/asesinan-a-gobernador-indigena-de-la-comunidad-de-dojura/"
nolberto-martinez-macana,Nolberto Martínez Macana,NA,NA,NA,si,NA,si,NA,si,NA,NA,NA,M,2016-06-22,Soacha,Cundinamarca,Líder comunitario,,,,"http://caracol.com.co/emisora/2016/06/26/bogota/1466968565_022127.html, https://www.elespectador.com/noticias/bogota/presuntas-torturas-agudizan-crisis-de-derechos-humanos-articulo-640023 
"
luis-fernando-ortega-rubio,Luis Fernando Ortega Rubio,NA,NA,NA,si,NA,si,NA,NA,NA,NA,si,M,2016-06-26,Soacha,Cundinamarca,Líder comunal,,,,"http://caracol.com.co/emisora/2016/06/26/bogota/1466968565_022127.html, https://www.elespectador.com/noticias/bogota/presuntas-torturas-agudizan-crisis-de-derechos-humanos-articulo-640023 
"
wilson-manuel-cabrera,Wilson Manuel Cabrera Mendoza,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-06-29,El Bagre,Antioquia,Líder comunitario,,,,"http://caracol.com.co/emisora/2016/07/01/medellin/1467376229_943681.html, http://prensarural.org/spip/spip.php?article19699 
"
evaristo-dagua-troches,Evaristo Dagua Troches,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-06-30,Corinto,Cauca,Líder campesino o agrario,,,,"http://www.eltiempo.com/colombia/cali/un-muerto-y-un-herido-dejan-dos-atentados-contra-indigenas-en-el-cauca/16659478, http://www.justiceforcolombia.org/news/article/2237/peasant-farmer-activist-assassinated-in-south-west-colombia"
diomedes-munoz,Diomedes Muñóz,si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-07-10,Puerto Valdivia,Antioquia,Líder campesino o agrario,,,,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC
gersain-pena-pito,Gersain Peña Pito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-07-10,Santander de Quilichao,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=13&orden=ASC
sebastiana-ulcue,Sebastiana Ulcué,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-07-10,Santander de Quilichao,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=13&orden=ASC
naimen-agustin-lara,Naimen Agustin Lara,si,NA,si,NA,NA,NA,NA,si,NA,NA,si,M,2016-07-11,Chiriguana,Cesar,Líder afrodescendiente,,,,"http://www.colombiainforma.info/capturado-el-policia-responsable-de-la-muerte-del-lider-social-de-chiriguana/, http://elpilon.com.co/crisis-chiriguana-toco-fondo/ 
"
beatriz-nohemi-morano,Beatriz Nohemi Morano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,2016-07-14,Caloto,Cauca,Líder indígena,,"Beatriz se encontraba en trabajo de parto, se desplazaba en motocicleta con Gersain Peña Pito cuando fueron interceptados y asesinados a disparos.",,https://redhuerteros.org/b410&registros=10&pagina=10&orden=ASC#beatriz-nohemi-morano; http://cauca.extra.com.co/noticias/judicial/triple-asesinato-en-santander-de-quilichao-222821
joaquin-emilio-lopez,Joaquín Emilio López,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,NA,M,2016-07-16,La Celia,Risaralda,Líder comunal,,,,http://elpoliticon.com/asesinado-lider-comunal-en-la-celia-risaralda/
nhora-alba-cuicue,Nhora Alba Cuicue Viquis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,2016-07-17,Caloto,Cauca,Líder indígena,Líder del pueblo Nasa,Asesinada con arma blanca,,https://redhuerteros.org/b410&registros=10&pagina=10&orden=ASC
primitivo-silva-chate,Primitivo Silva Chaté,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-07-17,Caloto,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=10&orden=ASC
ivan-dario-soto,Ivan Dario Soto,si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-08-06,Balsillas,Caquetá,Líder campesino o agrario,,,,http://www.eltiempo.com/colombia/otras-ciudades/reportaje-de-salud-hernandez-sobre-alias-el-paisa-48299
luis-alfonso-leiva,Luis Alfonso Leiva Peña,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-08-08,Montelibano,Córdoba,Líder comunal,,,,"https://www.rcnradio.com/colombia/mataron-dirigente-comunal-montelibano, http://www.lapiragua.co/2016/08/cordoba/san-jorge/otro-lider-comunal-es-asesinado/, http://elmeridiano.co/consejo-de-seguridad-en-san-carlos/48582"
maria-fabiola-jimenez,Maria Fabiola Jimenez de Cifuentes,si,NA,NA,si,NA,NA,NA,NA,NA,NA,si,F,2016-08-11,Barbosa,Antioquia,Líder comunitario,Líder de defensa de derechos humanos y de la mujer,Fue ultimada a tiros la mañana de este domingo cuando se movilizaba en un bus de servicio intermunicipal,,http://noticias.caracoltv.com/medellin/sicarios-irrumpen-en-bus-de-servicio-publico-para-asesinar-una-abuelita
nohora-rocio-hernandez,Nohora Rocío Hernández,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,F,2016-08-16,Cúcuta,Norte de Santander,Líder comunal,Presidente Junta de Acción Comunal (JAC),,,http://www.wradio.com.co/noticias/regionales/cucuta-sicarios-asesinan-dirigente-comunal/20160816/nota/3218520.aspx
roberto-ballena-suarez,Roberto Ballena Suarez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-08-16,Ciénaga,Magdalena,Líder campesino o agrario,,,,"http://www.las2orillas.co/terror-en-la-zona-bananera-asesinan-a-reclamante-de-tierras/, http://www.elheraldo.co/judicial/reclamante-de-tierras-muere-dos-dias-despues-de-ser-atacado-279033, http://www.elespectador.com/noticias/judicial/terror-zona-bananera-asesinatos-y-amenazas-contra-recla-articulo-650083
"
oriana-nicoll-martinez,Oriana Nicoll Martinez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,T,2016-08-17,Riohacha,La Guajira,Líder LGBTI,Líder de la comunidad LGBTI en La Guajira,Su cuerpo fue encontrado sin vida en un hotel con heridas propinadas por un objeto cortopunzante,, https://lavoz.com.co/2017/07/20/en-libertad-acusado-del-asesinato-de-transexual-sincelejana-en-la-guajira/
raul-de-jesus-perez,Raul de Jesus Perez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-08-20,Canalete,Córdoba,Líder comunal,Presidente Junta de Acción Comunal (JAC),,,"http://www.lapiragua.co/2016/08/judicial/asesinado-presidente-de-junta-de-accion-comunal, http://www.larazon.co/web/2016/08/asesinan-ex-aspirante-al-concejo-del-municipio-canalete/"
camilo-roberto-taicus,Camilo Roberto Taicus Bisbicus,si,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-08-28,Tumaco,Nariño,Líder indígena,,,,"http://www.eltiempo.com/colombia/cali/en-tumaco-asesinan-a-lider-indigena-awa/16684678
https://www.elespectador.com/noticias/nacional/asesinado-tumaco-narino-lider-de-comunidad-indigena-awa-articulo-651897"
alberto-pascal,Alberto Pascal,si,NA,NA,si,NA,si,NA,si,NA,NA,NA,M,2016-08-29,Tumaco,Nariño,Líder indígena,Miembro de la comunidad AWA,"Su hermano y él se desplazaban desde el municipio de Llorente hasta  el resguardo Palangala- Hojal La Turbia cuando, alrededor de las 10 de la mañana, fueron asesinados a tiros.",,http://www.elespectador.com/noticias/nacional/los-lideres-sociales-asesinados-el-primer-dia-del-cese-articulo-651959; https://www.elespectador.com/noticias/nacional/los-lideres-sociales-asesinados-el-primer-dia-del-cese-articulo-651959
